--------- beginning of main
01-22 14:14:27.333 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188066, state connected, tech 4G, cid 120762902, pcid 343, rsrp -118, rsrq -20, 
01-22 14:14:28.344 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188068, state connected, tech 4G, cid 120762902, pcid 343, rsrp -118, rsrq -20, 
01-22 14:14:29.663 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188069, state connected, tech 4G, cid 120762895, pcid 343, rsrp -117, rsrq -20, 
01-22 14:14:30.671 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188070, state connected, tech 4G, cid 120762895, pcid 343, rsrp -117, rsrq -20, 
01-22 14:14:32.035 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188071, state connected, tech 4G, cid 120762895, pcid 343, rsrp -115, rsrq -20, 
01-22 14:14:33.043 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188073, state connected, tech 4G, cid 120762895, pcid 343, rsrp -115, rsrq -20, 
01-22 14:14:34.466 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188074, state connected, tech 4G, cid 120762895, pcid 343, rsrp -119, rsrq -20, 
01-22 14:14:35.474 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188075, state connected, tech 4G, cid 120762895, pcid 343, rsrp -119, rsrq -20, 
01-22 14:14:36.813 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188076, state connected, tech 4G, cid 120762895, pcid 343, rsrp -110, rsrq -18, 
01-22 14:14:37.823 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188077, state connected, tech 4G, cid 120762895, pcid 343, rsrp -110, rsrq -18, 
01-22 14:14:39.195 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188078, state connected, tech 4G, cid 120762895, pcid 343, rsrp -110, rsrq -19, 
01-22 14:14:40.205 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188080, state connected, tech 4G, cid 120762895, pcid 343, rsrp -110, rsrq -19, 
01-22 14:14:41.579 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188081, state connected, tech 4G, cid 120762895, pcid 343, rsrp -114, rsrq -20, 
01-22 14:14:42.588 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188082, state connected, tech 4G, cid 120762895, pcid 343, rsrp -114, rsrq -20, 
01-22 14:14:43.989 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188083, state connected, tech 4G, cid 120762895, pcid 343, rsrp -114, rsrq -20, 
01-22 14:14:44.997 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188084, state connected, tech 4G, cid 120762895, pcid 343, rsrp -114, rsrq -20, 
01-22 14:14:46.337 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188086, state connected, tech 4G, cid 120762895, pcid 343, rsrp -113, rsrq -20, 
01-22 14:14:47.348 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188087, state connected, tech 4G, cid 120762895, pcid 343, rsrp -113, rsrq -20, 
01-22 14:14:48.720 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188088, state connected, tech 4G, cid 120762895, pcid 343, rsrp -113, rsrq -20, 
01-22 14:14:49.734 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188089, state connected, tech 4G, cid 120762895, pcid 343, rsrp -113, rsrq -20, 
01-22 14:14:51.106 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188090, state connected, tech 4G, cid 120762895, pcid 343, rsrp -113, rsrq -20, 
